,registrationDate,propertyDescription,leaseDateTerm,lesseeTitle,NOTE 1,NOTE 2,NOTE 3,NOTE 4
803,18.02.2013 172 in blue on the supplementary plan 31.12.3007,Parking space 93 (basement level)    ,16.12.2011 999 years from and including 1.1.2009 until and including ,AGL277648     ,,,,
804,14.03.2013 173 in blue on the supplementary plan 31.12.3007,Parking space 187 (basement level)    ,01.03.2013 999 years from and including 1.1.2009 until and including ,AGL279369     ,,,,
805,14.03.2013 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 4302 Landmark East Tower (forty third floor flat)   ,01.03.2013 999 years from and including 1.1.2009 until  ,AGL279369     ,,,,
806,27.03.2013 174 in blue on the supplementary plan 31.12.3007,Parking space 179 (basement level)    ,15.03.2013 999 years from and including 1.1.2009 until and including ,AGL280231     ,,,,
807,19.04.2013 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 1403 Landmark East Tower (fourteenth floor flat)   ,06.03.2013 999 years from and including 1.1.2009 until  ,AGL281991     ,,,,
808,"23.05.2013 175,176 and 177 in blue on the supplementary plan","Parking spaces 175,188 and 189 (basement level)    ",10.05.2013 999 years from and including 1.1.2009 until and including 31.12.3007,AGL284545     ,,,,
809,23.05.2013 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 4301 Landmark East Tower (forty third floor flat)   ,10.05.2013 999 years from and including 1.1.2009 until  ,AGL284545     ,,,,
810,25.07.2013 Edged and numbered 5 in blue (part of) : Edged and numbered 7 in blue (part of),"Units 5-10 Landmark Square (Levels -2,-1,0,1 and 2)     ",15.01.2013 999 years from and including 1.1.2009 until and including 31.12.3007 ,AGL289066      ,NOTE: See entry in the Charges Register relating to a Deed of Variation dated 20 August 2015.,,,
811,25.06.2013 178 in blue on supplementary plan 1 : 179 in blue on supplementary plan 1,Parking space 133 (basement level) : Parking space 165 (basement level)    ,15.01.2013 999 years from and including 1.1.2009 until and including 31.12.3007 ,AGL289066      ,NOTE: See entry in the Charges Register relating to a Deed of Variation dated 20 August 2015.,,,
812,22.11.2013 Edged and numbered 2 in blue (part of) and including 31.12.3007,Land at Endeavour House (Levels 0 and -1)    ,21.10.2013 999 years from and including 1.1.2009 until  ,AGL297845     ,,,,
813,23.10.2013 180 in blue on supplementary plan 1 and including 31.12.3007,Parking space 71 (basement level)    ,03.10.2013 999 years from and including 1.1.2009 until  ,AGL295505     ,,,,
814,06.02.2014 181 in blue on supplementary plan 1 and including 31.12.3007,Parking space 177 (basement level)    ,22.01.2014 999 years from and including 1.1.2009 until  ,AGL303687     ,,,,
815,20.05.2014 182 in blue on supplementary plan 1 and including 31.12.3007,Parking space 25 (basement level)    ,02.05.2014 999 years from and including 1.1.2009 until  ,AGL312342     ,,,,
816,24.09.2014 183 in blue on supplementary plan 1 and including 31.12.3007,Parking space 26 (basement level)    ,28.07.2014 999 years from and including 1.1.2009 until  ,AGL323375     ,NOTE: See entry in the Charges Register relating to a Deed of Variation dated 28 July 2017.,,,
817,03.12.2014 185 in blue on supplementary plan 1 and including 31.12.3007,Parking space 176 (basement level)    ,14.11.2014 999 years from and including 1.1.2009 until  ,AGL329031     ,,,,
818,09.04.2015 186 in blue on supplementary plan 1 and including 31.12.3007,Parking space 109 (basement level)    ,20.08.2013 999 years from and including 1.1.2009 until  ,AGL339742     ,,,,
819,10.07.2015 Edged and numbered 8 in blue (part of),Land lying to the west of Marsh Wall  ,01.07.2015 999 years from 1.7.2015 ,AGL348265   ,,,,
820,17.09.2015 Edged and numbered 4 in blue (part of) and including 29.07.3014,"Parts of Landmark West Tower at Podium Level 0, Level 01, Level -01 and basement Level 02  ",11.08.2015 999 years from and including 30.07.2015 to  ,AGL354947     ,NOTE: The lease dated 17.09.2015 referred to above has been determined as to the part edged in yellow on supplementary plan 2 to the title plan.,,,
821,"22.12.2015 11,187,188 and 189 in blue on the supplementary plan 29.07.3014","Parking spaces 3,20,21 and 77 (basement level)     ",11.08.2015 999 years from and including 30.07.2015 until and including ,AGL363333      ,,,,
822,22.01.2016 190 in blue on the supplementary plan 31.12.3007,Parking space 12 (basement level)    ,21.01.2015 999 years from and including 1.1.2009 until and including ,AGL365942     ,,,,
823,16.06.2016 Edged and numbered 4 in blue (part of) and including 31.12.3008,Flat 308 Landmark West Tower (third floor flat)    ,03.06.2016 999 years from and including 1.1.2009 until  ,AGL380249     ,,,,
824,27.06.2016 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 4108 Landmark East Tower (forty first floor flat)   ,22.06.2016 999 years from and including 1.1.2009 until  ,AGL381239     ,,,,
825,02.11.2016 Edged and numbered 4 in blue (part of) and including 31.12.3013,35 and 40 Landmark Square (basement level minus 01 (-1))   ,24.10.2016 999 years from and including 1.1.2015 until  ,AGL393979     ,,,,
826,02.11.2016 191 in blue on the supplementary plan 31.12.3013,Parking space 42 (basement level)    ,24.10.2016 999 years from and including 1.1.2015 until and including ,AGL393983     ,,,,
827,02.11.2016 Edged and numbered 192 in blue (part of) 23.10.3015,Land on the East side of Westferry Road    ,24.10.2016 999 years from and including 24.10.2016 expiring on ,AGL393989     ,,,,
828,10.08.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 3703 Landmark East Tower (thirty seventh floor flat)   ,29.07.2011 999 years from and including 1.1.2009 until  ,AGL237883     ,,,,
829,28.02.2011 Edged and numbered 5 in blue (Part of) and including 31.12.3007,Flat 4010 Landmark East Tower (fortieth floor flat)    ,14.02.2011 999 years from and including 1.1.2009 until  ,AGL228373     ,NOTE: See entry in the Charges Register relating to a Deed of Variation dated 14 November 2014.,,,
830,21.11.2016 Edged and numbered 193 in blue (part of) 31.12.3007,1 Landmark Square (Podium (00) Level)    ,25.10.2016 999 years from and including 1.1.2009 until and including ,AGL395915     ,,,,
831,21.11.2016 Edged and numbered 4 in blue (part of) and including 31.12.3007,35 Landmark Square Landmark West Tower (Podium Level (00))   ,25.10.2016 999 years from and including 1.1.2009 until  ,AGL395923     ,,,,
832,21.11.1996 1 16 September 1996,"Transformer Site, Manor Road  ",16.09.1996 25 years from  ,EGL352255   ,NOTE 1: See entry in the Charges Register relating to the rights granted by this lease. The lease also affects other land,NOTE 2: No copy of the Lease referred to is held by Land Registry.,,
833,"13.11.1996 1 in yellow Avenue, Staines","Retail Warehouse, The Causeway and River Park 25.3.1995",25.07.1996 25 years from ,SY664660  ,NOTE: The Lease comprises also other land,,,
834,13.11.1996 2 in yellow Staines.,"land adjoining The Causeway and River Park Avenue, 25.3.1995",25.07.1996 25 years from ,SY664662  ,,,,
835,"02.09.2005 1 in yellow Avenue, Staines","Retail Warehouse, The Causeway and River Park 25.3 2020",30.06.2005 5 years from ,SY664660  ,NOTE: This is a reversionary lease,,,
836,02.09.2005 2 in yellow Staines,"land adjoining The Causeway and River Park Avenue, 25.3.2020",30.06.2005 5 years from ,SY664662  ,NOTE: This is a reversionary lease,,,
837,31.10.2016 commencing on and including 20.12. 2020 and expiring on 14.08.2031,Homebase Store     ,15.08.2016     ,WS77476     ,NOTE: This is a reversionary lease.,,,
838,28.11.2018 Station more par described in the 2016 to 01:59 on 15 November 2026,Shoreditch High Street ticularly     From 02:00 on lease        13 November   ,11.11.2016     ,AGL461975     ,NOTE 1: The lease comprises also other land.,NOTE 2: No copy of the Lease referred to is held by HM Land Registry.,,
839,18.01.2012 the airspace abo roof) and including 25.11.2011,7 Sunridge Close (Lease of ve the        25 years and 6 months from  ,25.11.2011    ,ST296351    ,NOTE: See the entry in the Charges Register relating to Landlord's restrictive covenants.,,,
840,10.09.1987 Edged and numbered 30 (Part of) in brown,89H Denmark Hill (Second Floor Flat)   ,03.08.1987 125 years from 3.8.1987  ,SGL493290    ,NOTE 1: A Deed dated 21 May 1992 made between (1) Orbit Housing Association and (2) Carol Jean Pryce is supplemental to the Lease dated 3 August 1987 of 89H Denmark Hill referred to above. It rectifies the lease plan.,NOTE 2: Copy Deed filed under SGL493290,,
841,17.11.1987 edged and numbered in brown 13 (part of),89E Denmark Hill (First Floor Flat)   ,30.10.1987 125 years from 30.10.1987  ,SGL501009    ,,,,
842,17.02.1988 Edged and numbered 22 (Part of) in brown,11 Ashworth Close (Second Floor Flat)   ,15.02.1988 125 years from 1.2.1988  ,SGL507575    ,NOTE 1: By a Deed dated 5 May 1995 made between (1) Orbit Housing Association (2) Anna Julie Price and (3) Nationwide Building Society the terms of the Lease were varied.  (Original Deed filed under SGL507575).,NOTE 2: A Deed dated 20 February 1996 made between (1) Orbit Housing Association (2) Anna Julie Price (3) Nationwide Building Society and (4) Haco Limited is supplemental to the lease. It substitutes a new plan for the original lease plan. (Copy Deed filed under SGL507575),,
843,18.10.1988 Edged and numbered 24 (Part of) and 36 (Part of) in brown,16 Ashworth Close (Second Floor Flat)    ,29.07.1988 125 years from 29.7.1988   ,TGL9725     ,NOTE 1: By a Deed dated 29 January 1996 made between (1) Orbit Housing Association (2) Nell Juliana Rosser and Patricia Ann Reed and (3) Abbey National PLC the terms of the Lease were varied.  (Copy filed under TGL9725).,NOTE 2: A Deed dated 29 January 1997 made between (1) Orbit Housing Association (2) Nell Julianna Rosser and Patricia Ann Reed and (3) Haco Limited is supplemental to the lease. It substitutes a new plan for the original lease plan. (Copy Deed filed under TGL9725),,
844,04.01.1989 Edged and numbered 18 (Part of) and 20 (Part of) in brown,"17 Harbord Close, De Crespigny Park (Ground and First Floor Flat)   ",27.05.1988 125 years from 27.5.1988   ,TGL5186     ,NOTE: By a Deed dated 2 April 1996 made between (1) Orbit Housing Association (2) Monica Caroline Linton and (3) Halifax Loans Limited the terms of the Lease were varied.  (Copy filed),,,
845,23.01.1989 edged and numbered in brown 17 (part of),93F Denmark Hill (First Floor Flat)   ,01.11.1988 125 years from 1.11.1988  ,TGL14327    ,NOTE 1: By a Deed dated 11 August 1995 made between (1) Orbit Housing Association (2) Kirstern Ann Sutherland and (3) Leeds Permanent Building Society the terms of the Lease were varied,NOTE 2: Original Deed filed under TGL14327),,
846,17.03.1988 edged and numbered in brown 14 (part of),85A Denmark Hill (Basement Floor Flat)   ,01.11.1988 125 years from 1.11.1988  ,TGL17134    ,NOTE: See entry in charges register relating to a Deed of Variation dated3 May 2005,,,
847,16.05.1989 edged and numbered in brown 10 (part of),95F Denmark Hill (First Floor Flat)   ,27.05.1988 125 years from 27.5.1988  ,TGL20285    ,,,,
848,04.07.1989 edged and numbered in brown 23 (part of),3 Harbord Close (Ground and First Floor Flat)   ,31.03.1989 125 years from 31.3.1989  ,TGL20773    ,NOTE 1: By a Deed dated 7 November 1995 made between (1) Orbit Housing Association and (2) John Maxwell Mercer and Mary Tyman Mercer the terms of the Lease were varied,NOTE 2: Copy filed under TGL20773,,
849,24.07.1989 Edged and numbered 19 (Part of) in brown,17 Ashworth Close (Ground and First Floor Flat)   ,01.06.1989 125 years from 1.6.1989  ,TGL24029    ,NOTE 1: A Deed of Rectification dated 7 September 1992 made between (1) Orbit Housing Association and (2) John Joseph McMahon Nellie Helen McMahon and John George McMahon is supplemental to the Lease dated 1 June 1989 of 17 Ashworth Close referred to above. The lease actually comprises the second floor flat numbered 24 (Part of) on the filed plan. (Copy Deed filed under TGL24029),NOTE 2: By a Deed dated 23 May 1996 made between (1) Orbit Housing Association (2) John Joseph McMahon Nellie Helen McMahon and John George McMahon and (3) Britannia Building Society the terms of the lease were varied. (Copy Deed filed under TGL24029).,NOTE 3: A Deed dated 13 February 1997 made between (1) Orbit Housing Association (2) John Joseph McMahon and others and (3) Britannia Building Society is supplemental to the lease. It substitutes a new plan for the original lease plan. (Copy Deed filed under TGL24029),
850,19.09.1989 Edged and numbered 25 (Part of) in brown,12 Harbord Close (Ground and First Floor Flat)   ,01.09.1989 125 years from 1.9.1989  ,TGL27196    ,NOTE: By a Deed dated 20 July 1995 made between (1) Orbit Housing Association and (2) Clifford Ronald Mitchell the terms of the Lease were varied.  (Copy Deed filed under TGL27169),,,
851,05.04.1990 Edged and numbered 26 (Part of) in brown,5 Harbord Close (Second and Third Floor Flat)   ,28.02.1990 125 years from 28.2.1990  ,TGL40532    ,NOTE: By a Deed dated 9 October 1995 made between (1) Orbit Housing Association (2) Sandra Marie Stirling and John Gerard Roper and (3) Abbey National PLC the terms of the Lease were varied.  (Original Deed filed under TGL40532),,,
852,13.02.1991 Edged and numbered 24 (Part of) in brown,"13 Ashworth Close, Love Walk (Ground and First Floor Flat)  ",28.02.1990 125 years from 28.2.1990  ,TGL55839    ,NOTE: By a Deed dated 6 April 1995 made between  (1) Orbit Housing Association and (2) Melanie Jayne Boyce the terms of the Lease were varied.  (Copy filed),,,
853,18.03.1991 edged and numbered in brown 17 (part of),93E Denmark Hill (First Floor Flat)   ,28.02.1991 125 years from 28.2.1991  ,TGL57200    ,,,,
854,17.06.1991 edged and numbered in brown 28 (part of),8 Harbord Close (Ground and First Floor Flat)   ,31.05.1991 125 years from 31.5.1991  ,TGL60720    ,NOTE: By a Deed dated 8 September 1995 made between (1) Orbit Housing Association (2) David Gordon Haggard and Angela Haggard and (3) Leeds Permanent Building Society the terms of the lease were varied. (Copy,Deed filed under TGL60720),,
855,16.06.1992 Edged and numbered 20 (part of) in brown,20 Harbord Close (Second and Third Floor Flat)   ,29.05.1992 125 years from 29.5.1992  ,TGL74363    ,NOTE: By a Deed dated 14 July 1995 made between (1) Orbit Housing Association (2) Ingrid Eustacy Bynoe and (3) Abbey National PLC the terms of the Lease were varied.  (Copy Deed filed under TGL74363),,,
856,25.06.1992 edged and numbered in brown 30 (part of),89B Denmark Hill (Basement Flat)   ,20.05.1992 125 years from 20.5.1992  ,TGL74710    ,,,,
857,22.07.1993 edged and numbered 18 (Part of) and 20 (Part of) in brown,18 Harbord Close (Ground Floor Flat)    ,30.04.1993 125 years from 30.4.1993   ,TGL87497     ,NOTE: By a Deed dated 25 April 1995 made between (1) Orbit Housing Association (2) Nuray Kemal and (3) Woolwich Building Society the terms of the Lease were varied.  (Copy filed),,,
858,19.11.1993 Edged and numbered 31 (Part of),19 Harbord Close (Ground Floor Flat)  ,01.11.1993 125 years from 1.11.1993 ,TGL91415   ,NOTE: By a Deed dated 2 August 1996 made between (1) Orbit Housing Association and (2) Margaret Joan Mace the terms of the Lease were expressed to be varied.  (Copy filed under TGL91415),,,
859,06.12.1993 32 (Part of) 30.11.1993,11 Harbrd Close (Ground and First Floor Flat ,30.11.1993 125 years from ,TGL91935  ,NOTE: By a Deed dated 8 March 1996 made between (1) Orbit Housing Association (2) Ronald Thomas Mitchell and Doreen Madie Ellen Mitchell and (3) Abbey National PLC.  The terms of the Lease were varied. (Original Deed filed under TGL91935),,,
860,20.12.1993 26 (Part of) 30.11.1993,2 Harbord Close (Ground and First Floor Flat) ,30.11.1993 125 years from ,TGL92419  ,NOTE: By a Deed dated 10 April 1995 made between (1) Orbit Housing Association and (2) Catherine Bathilda Gabriel-Lovell and Leasley Athlestan O'Brien Lovell the terms of the Lease were varied.  (Copy filed ),,,
861,19.01.1994 33 (part of) 31.12.1993,14 Harbord Close (Second and third floor flat) ,31.12.1993 125 years from ,TGL93443  ,NOTE: By a Deed dated 3 January 1996 made between (1) Peter Frank Hetherington and Shelagh Anne Hetherington and (2) Britannic Assurance Public Limited Company the terms of the registered lease were varied. (Copy deed filed under TGL93443),,,
862,27.06.1994 33 (Part of) 31.3.1994,9 Harbord Close (Ground and First Floor Flat) ,30.03.1994 125 yeasr from ,TGL98542  ,NOTE: By a Deed dated 20 February 1996 made between (1) Orbit Housing Association (2) Stephanie Anne Fraser and (3) Northern Rock Building Society the terms of the Lease were varied.  (Original filed under TGL98542),,,
863,27.06.1994 33 (Part of) and 34 (Part of),10 Harbord Close (Ground and First Floor Flat)  ,30.03.1994 125 years from 31.3.1994 ,TGL98543   ,NOTE: By a Deed dated 20 February 1996 made between (1) Orbit Housing Association (2) Terence Ryan and Theresa Ryan and (3) Northern Rock Building Society the terms of the Lease were varied.  (Original filed under TGL98543),,,
864,19.09.1994 9 (part of) 1.7.1994,97D Denmark Road (Ground Floor Flat) ,01.07.1994 125 years from ,TGL101532  ,,,,
865,04.08.1995 Edged and numbered in brown 3 (part of),89G Denmark Hill (Second floor flat)   ,25.07.1995 125 years from 25.7.1995  ,TGL111536    ,NOTE 1: By a Deed dated 7 October 1998 made between (1) Orbit Housing Association and (2) Carina Nathoo the terms of the registered lease,NOTE 2: Original deed filed under TGL111536,,
866,16.10.1995 13 (part of) 1.6.1995,89C Denmark Hill (Ground floor flat) ,01.06.1995 125 years from ,TGL113678  ,,,,
867,29.01.1996 9 (part of) 2.1.1996,97E Denmark Hill (First floor flat) ,02.01.1996 125 years from ,TGL116649  ,,,,
868,12.05.1997 31 (part of): 35 (part of),22 Harbord Close (Second Floor Flat) ,21.04.1997 125 years from 21.4.1997,TGL132299  ,,,,
869,14.01.1988 10 (part of) 18.12.1997,95D Denmark Hill (Ground Floor Flat) ,18.12.1997 125 years from ,TGL141902  ,,,,
870,19.02.1998 10 (part of) 19.12.1997,95B Denmark Hill (Basement Flat) ,19.12.1997 125 years from ,TGL143666  ,,,,
871,12.12.2002 10 (part of) 20.11.2002,95H Denmark Hill (Second floor flat) ,20.11.2002 125 years from ,TGL212625  ,,,,
872,02.01.2013 Edged and numbered 17 in brown (part of),93G Denmark Hill (Second Floor Attic Flat)   ,17.12.2012 From 30.11.1989 to the 29.11.2114 ,TGL372780    ,,,,
873,24.10.2013 Edged and numbered 14 in brown (part of),85D Denmark Hill (Second Floor Flat)   ,26.09.2013 125 years from 26.9.2013  ,TGL386981    ,,,,
874,09.12.2015 125 years and three days from and including 1.1.2015,Leedham Court     ,18.11.2015     ,YY60314     ,,,,
875,02.09.2002 999 years from 5.8.1997,Normanby College  ,22.03.2002  ,TGL207559  ,,,,
876,02.10.2007 Electricity Tran Chamber and Vent Duct above Lower Floor Store,Lower Ground Floor sformer       60 years from ilation       31/7/1987 Ground ,31.07.1987    ,NGL599812    ,NOTE: See entry in Charges Register.,,,
877,02.10.2007 Pedestrians Acce 5/1/1988,1 Drummond Gate and ss Tunnel     125 years from ,18.02.1988  ,NGL610498  ,NOTE: During the subsistence of this lease the lease dated 31 July 1987 referred to above takes effect as an underlease as to the land comprising the ventilation duct above the lower ground floor store,,,
878,02.10.2007 edged blue 24/6/1895,"St Georges Mansions, Vauxhall Bridge Road ",08.07.1897 999 years from ,NGL112138  ,,,,
879,04.01.2016 1 01.01.2015,6 Upton Drive  ,18.12.2015 999 years from ,SF612873  ,,,,
880,07.01.2016 2 01.01.2015,7 Upton Drive  ,21.12.2015 999 years from ,SF613038  ,,,,
881,08.01.2016 16 (part of) & 17,14 Adkins Close (ground floor flat) ,18.12.2015 125 years from 01.01.2015,SF613060  ,NOTE: As to the parking space only the surface is included in the lease.,,,
882,ITEM CANCELLED o,n 14 February 2019.,,,,,,
883,ITEM CANCELLED o,n 22 March 2018.,,,,,,
884,ITEM CANCELLED o,n 6 August 2019.,,,,,,
885,11.01.2016 6 01.01.2015,8 Adkins Close  ,21.12.2015 999 years from ,SF613119  ,,,,
886,12.01.2016 9 01.01.2015,12 Adkins Close  ,18.12.2015 999 years from ,SF613163  ,,,,
887,12.01.2016 10 01.01.2015,7 Adkins Close  ,21.12.2015 125 years from ,SF613184  ,,,,
888,ITEM CANCELLED o,n 29 July 2019.,,,,,,
889,ITEM CANCELLED o,n 11 September 2018.,,,,,,
890,ITEM CANCELLED o,n 11 September 2018.,,,,,,
891,27.01.2016 14 01.01.2015,17 Adkins Close  ,17.12.2015 999 years from ,SF613662  ,,,,
892,02.02.2016 15 01.01.2015,3 Upton Drive  ,29.01.2016 999 years from ,SF613783  ,,,,
893,29.02.2016 21 01.01.2015,16 Atkins Close  ,17.12.2015 999 years from ,SF614437  ,,,,
894,ITEM CANCELLED o,n 12 February 2019.,,,,,,
895,05.04.2016 33 01.01.2015,9 Upton Drive  ,26.02.2016 999 years from ,SF615213  ,,,,
896,12.04.2016 30 (part of) & 31,15 Metcalfe Close (ground floor flat) ,31.03.2016 125 years from 01.01.2015,SF615470  ,NOTE: As to the parking space only the surface is included in the lease.,,,
897,21.04.2016 16 (part of) & 20,11 Adkins Close (first & second floor flat) ,18.12.2015 125 years from 01.01.2015,SF615704  ,NOTE: As to the parking space only the surface is included in the lease.,,,
898,22.04.2016 22 01.01.2015,12 Metcalfe Close  ,31.03.2016 999 years from ,SF615736  ,,,,
899,25.04.2016 23 01.01.2015,9 Metcalfe Close  ,15.04.2016 999 years from ,SF615785  ,,,,
900,ITEM CANCELLED o,n 22 February 2019.,,,,,,
901,03.05.2016 24 01.01.2015,4 Metcalfe Close  ,31.03.2016 999 years form ,SF615979  ,,,,
902,10.05.2016 25 01.01.2015,2 Metcalfe Close  ,31.03.2016 999 years from ,SF616183  ,,,,
903,16.05.2016 7 01.01.2015,5 Metcalfe Close  ,15.04.2016 999 years from ,SF616321  ,,,,
904,18.05.2016 26 01.01.2015,11 Upton Drive  ,28.04.2016 999 years from ,SF616439  ,,,,
905,18.05.2016 27 01.01.2015,19 Upton Drive  ,29.04.2016 999 years from ,SF616452  ,,,,
906,02.06.2016 28 01.01.2015,21 Upton Drive  ,29.04.2016 999 years from ,SF616779  ,,,,
907,ITEM CANCELLED o,n 16 May 2019.,,,,,,
908,09.06.2016 32 01.01.2015,10 Metcalfe Close  ,08.04.2016 999 years from ,SF616994  ,,,,
909,14.06.2016 20 01.01.2015,14 Metcalfe Close  ,27.05.2016 999 years from ,SF617091  ,,,,
910,"17.06.2016 67, 68 & 46 (part of)","17 Metcalfe Close (ground, first & second floor flat) ",31.03.2016 125 years from 01.01.2015,SF617229  ,NOTE: As to the parking space only the surface is included in the lease.,,,
911,ITEM CANCELLED o,n 6 August 2019.,,,,,,
912,05.07.2016 35 01.01.2015,27 Upton Drive  ,27.05.2016 999 years from ,SF617600  ,,,,
913,14.07.2016 48 01.01.2015,1 Upton Drive  ,29.01.2016 999 years from ,SF617894  ,,,,
914,14.07.2016 36 01.01.2015,8 Metcalfe Close  ,27.05.2016 999 years from ,SF617927  ,,,,
915,15.07.2016 37 01.01.2015,17 Upton Drive  ,20.05.2016 999 years from ,SF617964  ,,,,
916,19.07.2016 38 01.01.2015,18 Metcalfe Close  ,04.04.2016 999 years from ,SF618005  ,,,,
917,19.07.2016 39 01.01.2015,12 Upton Drive  ,27.05.2016 999 years from ,SF618040  ,,,,
918,19.07.2016 40 01.01.2015,8 Hewitt Close  ,27.05.2016 999 years from ,SF618044  ,,,,
919,ITEM CANCELLED o,n 20 September 2019.,,,,,,
920,20.07.2016 42 01.01.2015,15 Upton Drive  ,27.05.2016 999 years from ,SF618077  ,,,,
921,25.07.2016 43 01.01.2015,2 Gilliver Close  ,30.06.2016 999 years from ,SF618169  ,,,,
922,ITEM CANCELLED o,n 11 July 2019.,,,,,,
923,25.07.2016 44 01.01.2015,1 Gilliver Close  ,30.06.2016 999 years from ,SF618171  ,,,,
924,25.07.2016 71 01.01.2015,9 Gilliver Close  ,15.07.2016 999 years from ,SF618172  ,,,,
925,26.07.2016 49 01.01.2015,3 Metcalfe Way  ,15.07.2016 999 years from ,SF618212  ,,,,
926,01.08.2016 50 01.01.2015,23 Upton Drive  ,27.05.2016 999 years from ,SF618376  ,,,,
927,ITEM CANCELLED o,n 11 October 2018.,,,,,,
928,03.08.2016 67 01.01.2015,6 Metcalfe Close  ,27.05.2016 999 years from ,SF618428  ,,,,
929,03.08.2016 64 01.01.2015,26 Upton Drive  ,30.06.2016 999 years from ,SF618437  ,,,,
930,08.08.2016 62 01.01.2015,3 Gilliver Close  ,30.06.2016 999 years from ,SF618537  ,,,,
931,09.08.2016 57 01.01.2015,5 Gilliver Close  ,30.06.2016 999 years from ,SF618553  ,,,,
932,09.08.2016 54 01.01.2015,25 Upton Drive  ,30.06.2016 999 years from ,SF618554  ,,,,
933,ITEM CANCELLED o,n 22 October 2018.,,,,,,
934,15.08.2016 59 01.01.2015,6 Gilliver Close  ,30.06.2016 999 years from ,SF618711  ,,,,
935,23.08.2016 58 01.01.2015,7 Gilliver Close  ,12.08.2016 999 years from ,SF618850  ,,,,
936,26.08.2016 46 (part of) and 47,16 Metcalfe Close and parking spaces ,01.04.2016 125 years from 01.01.2015,SF618943  ,NOTE: As to the parking spaces only the surface is included in the lease.,,,
937,13.09.2016 55 01.01.2015,24 Upton Close  ,16.08.2016 999 years from ,SF619270  ,,,,
938,13.09.2016 73 01.01.2015,16 Upton Drive  ,26.08.2016 999 years from ,SF619299  ,,,,
939,14.09.2016 74 01.01.2015,18 Upton Drive  ,26.08.2016 999 years from ,SF619317  ,,,,
940,21.09.2016 66 01.01.2015,34 Upton Drive  ,26.08.2016 999 years from ,SF619481  ,,,,
941,27.09.2016 65 01.01.2015,22 Upton Drive  ,19.08.2016 999 years from ,SF619610  ,,,,
942,06.10.2016 75 01.01.2015,58 Upton Drive  ,30.09.2016 999 years from ,SF619891  ,,,,
943,10.10.2016 76 01.01.2015,18 Gilliver Close  ,30.09.2016 999 years from ,SF619986  ,,,,
944,11.10.2016 79 01.01.2015,40 Upton Drive  ,30.09.2016 999 years from ,SF620023  ,,,,
945,12.10.2016 77 01.01.2015,42 Upton Drive  ,30.09.2016 999 years from ,SF620032  ,,,,
946,24.10.2016 68 01.01.2015,4 Gilliver Close  ,20.06.2016 999 years from ,SF620315  ,,,,
947,31.10.2016 78 01.01.2015,36 Upton Drive  ,28.10.2016 999 years from ,SF620501  ,,,,
948,01.11.2016 80 01.01.2015,23 Gilliver Close  ,28.10.2016 999 years from ,SF620523  ,,,,
949,02.11.2016 81 01.01.2015,21 Gilliver Close  ,28.10.2016 999 years from ,SF620555  ,,,,
950,04.11.2016 70 01.01.2015,8 Gilliver Close  ,28.10.2016 999 years from ,SF620634  ,,,,
951,09.11.2016 82 01.01.2015,56 Upton Drive  ,28.10.2016 999 years from ,SF620724  ,,,,
952,09.11.2016 83 01.01.2015,52 Upton Drive  ,28.10.2016 999 years from ,SF620730  ,,,,
953,23.11.2016 84 01.01.2015,3 Adkins Close  ,18.12.2015 999 years from ,SF621110  ,,,,
954,28.11.2016 85 01.01.2015,68 Upton Drive  ,25.11.2016 999 years from ,SF621254  ,,,,
955,29.11.2016 86 01.01.2015,20 Gilliver Close  ,25.11.2016 999 years from ,SF621270  ,,,,
956,ITEM CANCELLED o,n 21 February 2019.,,,,,,
957,30.11.2016 88 01.01.2015,38 Upton Drive  ,25.11.2016 999 years from ,SF621290  ,,,,
958,30.11.2016 72 01.01.2015,54 Upton Drive  ,25.11.2016 999 years from ,SF621311  ,,,,
959,08.12.2016 89 01.01.2015,2 Adkins Close  ,26.02.2016 999 years from ,SF621547  ,,,,
960,19.12.2016 91 01.01.2015,70 Upton Drive  ,25.11.2016 999 years from ,SF621784  ,,,,
961,20.12.2016 92 01.01.2015,50 Upton Drive  ,09.12.2016 999 years from ,SF621834  ,,,,
962,ITEM CANCELLED o,n 20 August 2019.,,,,,,
963,20.01.2017 109 01.01.2015,24 Gilliver Close  ,16.12.2016 999 years from ,SF623499  ,,,,
964,20.01.2017 110 01.01.2015,25 Gilliver Close  ,25.11.2016 999 years from ,SF623501  ,,,,
965,23.01.2017 100 01.01.2015,22 Gilliver Close  ,22.12.2016 999 years from ,SF622649  ,,,,
966,24.01.2017 97 01.01.2015,16 Gilliver Close  ,19.12.2016 999 years from ,SF622663  ,,,,
967,25.01.2017 98 01.01.2015,39 Upton Drive  ,16.12.2016 999 years from ,SF622723  ,,,,
968,25.01.2017 101 01.01.2015,64 Upton Drive  ,16.12.2016 999 years from ,SF622725  ,,,,
969,01.02.2017 102 01.01.2015,66 Upton Drive  ,14.12.2016 999 years from ,SF622927  ,,,,
970,03.03.2017 104 01.01.2015,31 Upton Drive  ,03.02.2017 999 years from ,SF623803  ,,,,
